Result,Depth,Expanded Nodes,Max Fringe Size
A* found a path of 13 moves,13,50,170
A* found a path of 15 moves,15,415,1328
A* found a path of 11 moves,11,22,66
A* found a path of 5 moves,5,7,24
A* found a path of 11 moves,11,11,33
A* found a path of 11 moves,11,29,88
A* found a path of 7 moves,7,7,24
A* found a path of 15 moves,15,97,286
A* found a path of 9 moves,9,19,68
A* found a path of 11 moves,11,11,34
A* found a path of 7 moves,7,7,25
A* found a path of 5 moves,5,5,19
A* found a path of 11 moves,11,34,113
A* found a path of 11 moves,11,34,109
A* found a path of 5 moves,5,5,18
A* found a path of 13 moves,13,53,163
A* found a path of 5 moves,5,5,16
A* found a path of 9 moves,9,9,30
A* found a path of 7 moves,7,14,42
A* found a path of 7 moves,7,11,36
A* found a path of 17 moves,17,499,1578
A* found a path of 9 moves,9,23,75
A* found a path of 15 moves,15,106,340
A* found a path of 7 moves,7,18,59
A* found a path of 13 moves,13,92,285
A* found a path of 15 moves,15,190,596
A* found a path of 13 moves,13,39,124
A* found a path of 7 moves,7,9,29
A* found a path of 5 moves,5,7,23
A* found a path of 17 moves,17,552,1747
A* found a path of 15 moves,15,524,1680
A* found a path of 13 moves,13,34,109
A* found a path of 9 moves,9,65,205
A* found a path of 7 moves,7,11,36
A* found a path of 5 moves,5,5,19
A* found a path of 9 moves,9,24,79
A* found a path of 11 moves,11,39,122
A* found a path of 3 moves,3,3,11
A* found a path of 7 moves,7,7,23
A* found a path of 9 moves,9,17,58
A* found a path of 3 moves,3,3,12
A* found a path of 13 moves,13,136,448
A* found a path of 13 moves,13,37,121
A* found a path of 5 moves,5,5,18
A* found a path of 7 moves,7,13,45
A* found a path of 9 moves,9,19,58
A* found a path of 5 moves,5,7,23
A* found a path of 7 moves,7,7,23
A* found a path of 13 moves,13,25,80
A* found a path of 15 moves,15,271,855
A* found a path of 13 moves,13,121,378
A* found a path of 3 moves,3,3,11
A* found a path of 7 moves,7,7,23
A* found a path of 15 moves,15,75,242
A* found a path of 7 moves,7,7,24
A* found a path of 11 moves,11,48,150
A* found a path of 9 moves,9,9,32
A* found a path of 17 moves,17,1425,4471
A* found a path of 9 moves,9,16,50
A* found a path of 5 moves,5,5,18
A* found a path of 11 moves,11,57,184
A* found a path of 11 moves,11,23,73
A* found a path of 15 moves,15,187,580
A* found a path of 7 moves,7,7,25
A* found a path of 7 moves,7,7,26
A* found a path of 3 moves,3,3,12
A* found a path of 7 moves,7,7,23
A* found a path of 7 moves,7,7,23
A* found a path of 9 moves,9,15,42
A* found a path of 13 moves,13,77,234
A* found a path of 11 moves,11,35,106
A* found a path of 15 moves,15,367,1179
A* found a path of 5 moves,5,5,19
A* found a path of 11 moves,11,89,287
A* found a path of 5 moves,5,5,16
A* found a path of 13 moves,13,13,41
A* found a path of 13 moves,13,90,289
A* found a path of 9 moves,9,9,32
A* found a path of 9 moves,9,16,54
A* found a path of 17 moves,17,444,1368
A* found a path of 9 moves,9,9,32
A* found a path of 13 moves,13,152,472
A* found a path of 7 moves,7,7,23
A* found a path of 17 moves,17,292,927
A* found a path of 11 moves,11,31,98
A* found a path of 7 moves,7,14,48
A* found a path of 9 moves,9,9,30
A* found a path of 9 moves,9,23,73
A* found a path of 7 moves,7,11,36
A* found a path of 19 moves,19,4006,12625
A* found a path of 11 moves,11,31,104
A* found a path of 11 moves,11,67,213
A* found a path of 9 moves,9,9,30
A* found a path of 11 moves,11,51,172
A* found a path of 9 moves,9,18,57
A* found a path of 5 moves,5,5,17
A* found a path of 9 moves,9,9,28
A* found a path of 5 moves,5,5,16
A* found a path of 5 moves,5,5,19
A* found a path of 7 moves,7,15,49
A* found a path of 9 moves,9,13,43
A* found a path of 9 moves,9,20,64
A* found a path of 13 moves,13,120,378
A* found a path of 13 moves,13,108,348
A* found a path of 7 moves,7,7,26
A* found a path of 9 moves,9,31,97
A* found a path of 7 moves,7,7,24
A* found a path of 9 moves,9,26,85
A* found a path of 7 moves,7,13,44
A* found a path of 13 moves,13,29,94
A* found a path of 15 moves,15,208,636
A* found a path of 9 moves,9,32,103
A* found a path of 11 moves,11,26,90
A* found a path of 15 moves,15,94,298
A* found a path of 9 moves,9,9,31
A* found a path of 5 moves,5,7,23
A* found a path of 15 moves,15,272,842
A* found a path of 5 moves,5,5,19
A* found a path of 9 moves,9,25,81
A* found a path of 7 moves,7,7,24
A* found a path of 5 moves,5,5,17
A* found a path of 1 moves,1,1,4
